final id,species,site,specimen.date,wing,trial,Min of final rn,flip?,side,length
KEB_00419,bombus impatiens,r,7/19/2019,1,1,28426,y,l,2.97616
KEB_00419,bombus impatiens,r,7/19/2019,1,2,28448,y,l,2.97616
KEB_00419,bombus impatiens,r,7/19/2019,2,1,28470,n,r,2.97616
KEB_00419,bombus impatiens,r,7/19/2019,2,2,28492,n,r,2.97616
KEB_00870,bombus impatiens,c,8/29/2019,1,1,29042,y,l,2.98744
KEB_00870,bombus impatiens,c,8/29/2019,1,2,29064,y,l,2.98744
KEB_00870,bombus impatiens,c,8/29/2019,2,1,29086,n,r,2.98744
KEB_00870,bombus impatiens,c,8/29/2019,2,2,29108,n,r,2.98744
KEB_00774,bombus impatiens,c,8/14/2019,1,1,34321,y,l,3.12804
KEB_00774,bombus impatiens,c,8/14/2019,1,2,34343,y,l,3.12804
KEB_00774,bombus impatiens,c,8/14/2019,2,1,34365,n,r,3.12804
KEB_00774,bombus impatiens,c,8/14/2019,2,2,34387,n,r,3.12804
KEB_01007,bombus impatiens,r,9/20/2019,1,1,34585,y,l,3.18948
KEB_01007,bombus impatiens,r,9/20/2019,1,2,34607,y,l,3.18948
KEB_01007,bombus impatiens,r,9/20/2019,2,1,34629,n,r,3.18948
KEB_01007,bombus impatiens,r,9/20/2019,2,2,34651,n,r,3.18948
KEB_00960,bombus impatiens,r,9/13/2019,1,1,35817,y,l,3.36684
KEB_00960,bombus impatiens,r,9/13/2019,1,2,35839,y,l,3.36684
KEB_00960,bombus impatiens,r,9/13/2019,2,1,35861,n,r,3.36684
KEB_00960,bombus impatiens,r,9/13/2019,2,2,35883,n,r,3.36684
KEB_01006,bombus impatiens,r,9/20/2019,1,1,35905,y,l,3.17868
KEB_01006,bombus impatiens,r,9/20/2019,1,2,35927,y,l,3.17868
KEB_01006,bombus impatiens,r,9/20/2019,2,1,35949,n,r,3.17868
KEB_01006,bombus impatiens,r,9/20/2019,2,2,35971,n,r,3.17868
KEB_00402,bombus impatiens,r,7/19/2019,1,1,41097,y,l,2.833155
KEB_00402,bombus impatiens,r,7/19/2019,1,2,41119,y,l,2.833155
KEB_00402,bombus impatiens,r,7/19/2019,2,1,41141,n,r,2.833155
KEB_00402,bombus impatiens,r,7/19/2019,2,2,41163,n,r,2.833155
KEB_00421,bombus impatiens,r,7/19/2019,1,1,41273,y,l,2.64381
KEB_00421,bombus impatiens,r,7/19/2019,1,2,41295,y,l,2.64381
KEB_00421,bombus impatiens,r,7/19/2019,2,1,41317,n,r,2.64381
KEB_00421,bombus impatiens,r,7/19/2019,2,2,41339,n,r,2.64381
KEB_00446,bombus impatiens,r,7/23/2019,1,1,41361,y,l,3.2019
KEB_00446,bombus impatiens,r,7/23/2019,1,2,41383,y,l,3.2019
KEB_00446,bombus impatiens,r,7/23/2019,2,1,41405,n,r,3.2019
KEB_00446,bombus impatiens,r,7/23/2019,2,2,41427,n,r,3.2019
KEB_00697,bombus impatiens,r,8/9/2019,1,1,42065,y,l,3.148665
KEB_00697,bombus impatiens,r,8/9/2019,1,2,42087,y,l,3.148665
KEB_00697,bombus impatiens,r,8/9/2019,2,1,42109,n,r,3.148665
KEB_00697,bombus impatiens,r,8/9/2019,2,2,42131,n,r,3.148665
KEB_00743,bombus impatiens,r,8/13/2019,1,1,43121,y,l,3.51013
KEB_00743,bombus impatiens,r,8/13/2019,1,2,43143,y,l,3.51013
KEB_00743,bombus impatiens,r,8/13/2019,2,1,43165,n,r,3.51013
KEB_00743,bombus impatiens,r,8/13/2019,2,2,43187,n,r,3.51013
KEB_00757,bombus impatiens,r,8/14/2019,1,1,43385,y,l,3.029715
